"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Economia e finanza (Dip.)";"Economia, management e diritto dell'impresa (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi umanistici (DISUM) (Dip.)"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Economia e finanza (Dip.)";"Economia, management e diritto dell'impresa (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi umanistici (DISUM) (Dip.)"
"Aspetti ritenuti rilevanti nella ricerca del lavoro: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Acquisizione di professionalità";"80,5";"78,2";"83,8";"83,3";"77,0";"80,3";"80,1";"82,9";"73,3";"83,4";"89,1";"76,2";"72,9";"81,7";"88,2";"76,6";"79,8";"80,8";"75,9";"78,8";"82,3";"71,8"
"Possibilità di carriera";"73,8";"69,4";"68,4";"78,2";"68,9";"83,8";"84,7";"73,1";"58,7";"80,3";"86,5";"74,9";"52,1";"67,7";"78,5";"68,8";"73,2";"70,4";"74,1";"75,2";"77,6";"58,8"
"Possibilità di guadagno";"64,8";"64,1";"60,3";"68,6";"47,5";"71,4";"70,1";"65,0";"52,0";"67,4";"73,5";"65,1";"50,0";"61,8";"75,3";"68,8";"61,3";"61,9";"63,0";"70,8";"68,0";"52,1"
"Stabilità/sicurezza del posto di lavoro";"74,9";"76,4";"77,2";"80,8";"62,3";"76,9";"73,3";"79,1";"57,3";"72,9";"75,2";"73,6";"58,3";"74,0";"76,3";"75,3";"74,4";"75,7";"75,9";"75,2";"79,8";"71,4"
"Rispondenza a interessi culturali";"48,6";"63,1";"50,7";"50,0";"47,5";"30,0";"36,2";"48,7";"48,0";"44,7";"30,0";"39,8";"41,7";"54,2";"52,7";"46,8";"44,6";"51,3";"51,9";"31,4";"52,2";"64,7"
"Coerenza con gli studi";"60,7";"56,0";"74,3";"73,7";"63,9";"54,1";"52,6";"71,8";"57,3";"50,0";"58,3";"47,3";"58,3";"75,9";"75,3";"61,0";"66,1";"63,9";"59,3";"45,3";"59,6";"56,3"
"Utilità sociale del lavoro";"47,1";"45,9";"45,6";"50,0";"44,3";"32,4";"30,7";"50,0";"26,7";"40,1";"32,6";"41,3";"29,2";"62,3";"48,4";"54,5";"42,9";"56,7";"42,6";"29,2";"63,5";"48,7"
"Prestigio ricevuto dal lavoro";"41,7";"34,4";"40,4";"39,7";"27,9";"45,9";"44,5";"42,7";"21,3";"49,4";"39,6";"47,8";"22,9";"44,4";"41,9";"35,1";"44,0";"39,1";"46,3";"40,9";"47,5";"34,0"
"Coinvolgimento e partecipazione all’attività lavorativa e ai processi decisionali";"51,6";"43,2";"50,0";"42,3";"44,3";"53,8";"56,6";"55,6";"30,7";"54,0";"47,0";"54,0";"31,3";"54,5";"54,8";"44,2";"56,5";"53,1";"51,9";"48,2";"59,6";"45,8"
"Indipendenza o autonomia";"60,2";"62,7";"66,9";"59,0";"50,8";"56,9";"55,4";"60,3";"52,0";"59,9";"47,4";"59,9";"39,6";"63,4";"66,7";"54,5";"56,0";"65,4";"53,7";"48,2";"66,5";"57,1"
"Flessibilità dell’orario di lavoro";"33,8";"35,8";"32,4";"25,6";"27,9";"35,2";"33,0";"32,9";"14,7";"29,0";"31,3";"32,8";"18,8";"35,9";"38,7";"29,9";"33,9";"35,6";"31,5";"35,0";"39,4";"31,9"
"Rapporti con i colleghi sul luogo di lavoro";"52,8";"49,2";"55,1";"45,5";"49,2";"52,1";"55,7";"56,0";"34,7";"44,3";"52,6";"50,1";"31,3";"57,6";"57,0";"46,8";"57,7";"58,0";"59,3";"51,1";"54,2";"47,9"
"Luogo di lavoro (ubicazione, caratteristiche fisiche dell’ambiente di lavoro)";"41,7";"41,6";"43,4";"34,6";"37,7";"39,3";"40,7";"38,5";"25,3";"37,8";"37,8";"44,4";"18,8";"48,0";"52,7";"40,3";"46,4";"42,2";"40,7";"33,6";"43,6";"39,9"
"Tempo libero";"34,4";"37,3";"30,9";"29,5";"29,5";"33,8";"30,9";"28,6";"14,7";"29,8";"34,8";"36,4";"27,1";"40,0";"36,6";"36,4";"29,2";"34,7";"35,2";"31,4";"36,5";"35,7"
"Opportunità di contatti con l'estero";"43,4";"58,7";"47,1";"51,3";"57,4";"44,8";"42,8";"39,7";"54,7";"41,8";"42,2";"41,9";"29,2";"41,6";"50,5";"41,6";"44,0";"30,2";"48,1";"41,6";"41,9";"39,9"
"Possibilità di utilizzare al meglio le competenze acquisite";"66,7";"72,0";"69,9";"76,3";"70,5";"56,2";"58,9";"70,9";"70,7";"59,4";"60,9";"56,1";"64,6";"74,4";"73,1";"61,0";"70,2";"69,9";"68,5";"54,0";"67,2";"65,1"
"Sono interessati a lavorare nei seguenti settori: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Pubblico";"59,8";"60,7";"52,9";"59,0";"57,4";"50,3";"45,8";"56,0";"45,3";"58,0";"52,6";"62,8";"54,2";"70,0";"51,6";"45,5";"51,8";"65,7";"42,6";"51,8";"70,9";"68,1"
"Privato (compreso l'avvio di un'attività autonoma/in conto proprio)";"49,3";"38,6";"48,5";"60,3";"49,2";"55,2";"59,6";"55,6";"46,7";"45,4";"63,0";"44,2";"45,8";"52,9";"53,8";"53,2";"58,3";"45,0";"44,4";"44,5";"50,5";"35,3"
"Disponibilità a lavorare per tipo di relazione contrattuale: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"ORARIO/MODALITA' LAVORATIVA";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Tempo pieno";"86,4";"80,6";"83,1";"89,1";"85,2";"92,4";"92,4";"90,2";"86,7";"89,1";"91,3";"86,6";"81,3";"85,6";"84,9";"83,1";"91,1";"82,6";"90,7";"84,7";"88,7";"82,4"
"Part-time";"41,1";"49,6";"41,9";"41,7";"36,1";"31,7";"35,7";"40,6";"24,0";"34,9";"24,3";"35,7";"29,2";"38,2";"39,8";"33,8";"36,3";"51,7";"46,3";"34,3";"49,3";"52,9"
"Telelavoro";"20,0";"28,2";"16,9";"21,2";"16,4";"15,2";"17,8";"20,5";"21,3";"16,6";"28,7";"16,0";"20,8";"15,9";"17,2";"15,6";"15,5";"22,1";"31,5";"16,8";"18,7";"26,1"
"CONTRATTO";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"A tutele crescenti ";"86,8";"87,7";"89,0";"89,1";"77,0";"86,6";"86,8";"94,4";"88,0";"87,4";"86,5";"81,7";"83,3";"85,9";"91,4";"89,6";"89,9";"88,8";"87,0";"83,9";"84,0";"80,7"
"A tempo determinato";"38,0";"40,5";"32,4";"45,5";"39,3";"33,1";"40,4";"33,3";"30,7";"35,7";"33,9";"34,6";"39,6";"36,6";"38,7";"28,6";"41,1";"40,9";"40,7";"34,3";"38,9";"42,9"
"Stage";"20,8";"24,5";"22,1";"26,3";"31,1";"19,3";"27,9";"26,5";"20,0";"24,4";"9,1";"21,4";"16,7";"13,6";"20,4";"16,9";"22,0";"16,2";"22,2";"21,2";"20,7";"23,5"
"Apprendistato";"19,5";"22,7";"19,1";"26,9";"27,9";"17,9";"25,0";"25,6";"17,3";"22,3";"12,6";"19,9";"12,5";"12,2";"17,2";"24,7";"24,4";"15,7";"14,8";"19,7";"21,2";"21,4"
"Somministrazione di lavoro (ex interinale)";"13,0";"15,2";"16,9";"14,7";"16,4";"10,0";"15,8";"14,5";"9,3";"13,2";"6,1";"13,2";"6,3";"10,6";"11,8";"19,5";"14,3";"10,1";"24,1";"14,6";"12,8";"17,2"
"Occasionale accessorio (voucher o buoni lavoro)";"9,6";"11,8";"11,0";"7,7";"14,8";"6,6";"10,8";"11,5";"1,3";"9,9";"3,9";"8,5";"6,3";"9,5";"9,7";"15,6";"7,7";"8,1";"11,1";"10,2";"9,4";"12,6"
"Autonomo/in conto proprio";"33,4";"30,6";"34,6";"37,8";"23,0";"34,1";"33,4";"32,5";"18,7";"41,4";"20,0";"31,3";"12,5";"36,7";"44,1";"50,6";"39,9";"33,1";"38,9";"28,5";"29,8";"30,7"
"Disponibilità a lavorare nelle seguenti aree geografiche: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Provincia di residenza";"72,6";"68,2";"73,5";"73,7";"63,9";"72,8";"72,0";"73,1";"58,7";"73,9";"67,4";"66,7";"62,5";"73,0";"76,3";"75,3";"77,4";"78,0";"72,2";"71,5";"76,8";"78,2"
"Provincia degli studi";"72,2";"67,9";"72,1";"70,5";"72,1";"75,5";"72,0";"73,5";"64,0";"73,3";"70,4";"63,0";"68,8";"71,7";"67,7";"76,6";"81,0";"76,3";"72,2";"73,7";"77,3";"76,1"
"Regione degli studi";"67,2";"64,2";"68,4";"69,2";"65,6";"67,6";"65,7";"70,1";"57,3";"70,2";"59,1";"59,7";"58,3";"68,1";"72,0";"71,4";"78,6";"69,1";"70,4";"65,7";"69,0";"71,4"
"Italia settentrionale";"48,3";"47,2";"47,8";"60,3";"49,2";"51,0";"52,2";"51,7";"60,0";"51,9";"52,2";"44,7";"39,6";"50,8";"51,6";"36,4";"50,0";"38,5";"51,9";"44,5";"45,8";"49,2"
"Italia centrale";"45,3";"46,6";"43,4";"54,5";"45,9";"41,7";"47,1";"50,9";"53,3";"51,3";"40,9";"39,8";"33,3";"48,4";"50,5";"36,4";"48,2";"36,0";"51,9";"40,9";"43,8";"49,6"
"Italia meridionale";"53,0";"50,6";"55,1";"58,3";"47,5";"47,6";"50,9";"55,1";"50,7";"57,8";"45,2";"47,8";"33,3";"55,2";"57,0";"63,6";"65,5";"52,2";"50,0";"54,0";"55,9";"55,0"
"Stato europeo";"48,6";"57,1";"49,3";"58,3";"57,4";"45,9";"48,2";"49,6";"70,7";"50,0";"53,5";"44,7";"41,7";"49,1";"57,0";"54,5";"53,6";"36,7";"53,7";"46,7";"42,6";"45,8"
"Stato extraeuropeo";"31,9";"38,6";"30,1";"42,3";"36,1";"30,7";"33,0";"34,2";"46,7";"34,0";"37,4";"28,7";"12,5";"33,9";"43,0";"32,5";"31,5";"20,4";"44,4";"29,9";"25,4";"27,7"
"Disponibilità ad effettuare trasferte di lavoro (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Sì, anche con trasferimenti di residenza";"57,2";"60,4";"58,8";"55,1";"50,8";"58,3";"58,6";"61,5";"60,0";"60,1";"53,0";"54,8";"54,2";"60,0";"67,7";"48,1";"55,4";"50,9";"50,0";"56,9";"54,4";"55,9"
"Sì, anche frequenti (senza cambi di residenza)";"23,9";"21,9";"25,7";"27,6";"24,6";"24,8";"26,4";"23,9";"30,7";"26,5";"27,4";"20,2";"27,1";"20,0";"18,3";"35,1";"28,6";"23,7";"31,5";"26,3";"23,9";"23,1"
"Sì, ma solo in numero limitato";"14,6";"13,8";"14,0";"13,5";"19,7";"15,2";"12,0";"12,0";"6,7";"10,7";"16,5";"15,0";"16,7";"15,2";"10,8";"13,0";"13,7";"19,2";"14,8";"13,1";"17,2";"16,0"
"Non disponibili a trasferte";"2,4";"2,5";"0,7";"1,3";"1,6";"1,7";"1,2";"1,7";"-";"0,6";"1,3";"4,7";"-";"2,5";"-";"3,9";"1,8";"5,0";"1,9";"1,5";"3,2";"3,4"
