"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Filosofia, letteratura storia e scienze sociali (FLESS) (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze dell'antichita' e del tardoantico (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi aziendali e giusprivatistici (Dip.)";"Studi umanistici (DISUM) (Dip.)"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Filosofia, letteratura storia e scienze sociali (FLESS) (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze dell'antichita' e del tardoantico (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi aziendali e giusprivatistici (Dip.)";"Studi umanistici (DISUM) (Dip.)"
"Sono interessati a lavorare nelle seguenti aree aziendali: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Acquisti";"18,6";"17,4";"10,7";"7,3";"7,1";"16,5";"12,3";"12,3";"23,8";"14,6";"26,7";"7,7";"8,8";"10,1";"17,1";"24,4";"14,4";"4,1";"11,8";"33,2";"18,9";"37,6";"12,1"
"Amministrazione, contabilità";"28,2";"16,3";"12,5";"8,4";"3,6";"16,5";"23,5";"13,8";"53,8";"22,1";"54,7";"40,4";"11,9";"8,3";"22,0";"22,7";"15,6";"10,2";"14,1";"64,0";"35,2";"58,1";"19,7"
"Assistenza tecnica";"13,4";"8,8";"9,8";"6,3";"8,9";"8,5";"16,0";"20,0";"21,1";"23,9";"22,3";"17,3";"8,7";"7,3";"34,1";"29,4";"7,5";"12,2";"10,6";"19,1";"15,8";"16,8";"7,6"
"Commerciale, vendite";"23,8";"24,1";"13,4";"12,0";"5,4";"37,7";"13,6";"6,2";"31,5";"12,7";"30,1";"9,6";"11,2";"11,0";"30,5";"31,9";"19,4";"6,1";"15,3";"43,5";"20,7";"43,3";"13,6"
"Controllo di gestione";"25,1";"13,9";"13,4";"11,0";"16,1";"19,1";"25,9";"18,5";"37,7";"21,6";"41,9";"23,1";"10,6";"21,1";"37,8";"37,0";"15,8";"10,2";"14,1";"53,7";"29,0";"51,3";"16,7"
"Finanza";"19,1";"7,6";"3,6";"2,6";"3,6";"7,2";"4,9";"20,0";"36,3";"18,8";"39,9";"32,7";"6,9";"8,3";"15,9";"7,6";"7,3";"4,1";"7,1";"56,9";"20,5";"49,3";"9,1"
"Legale";"17,3";"7,6";"4,5";"1,0";"7,1";"5,1";"7,4";"4,6";"80,4";"9,4";"42,2";"1,9";"7,2";"5,5";"11,0";"5,0";"7,5";"2,0";"8,2";"17,7";"22,3";"16,9";"3,0"
"Logistica, distribuzione";"19,1";"14,6";"11,6";"6,3";"5,4";"18,2";"19,8";"10,8";"24,2";"17,4";"30,7";"19,2";"8,7";"9,2";"20,7";"26,1";"13,6";"6,1";"12,9";"38,9";"17,6";"40,4";"13,6"
"Marketing, comunicazione, pubbliche relazioni";"34,7";"47,2";"5,4";"6,8";"12,5";"19,9";"43,2";"13,8";"51,1";"22,5";"41,2";"17,3";"11,4";"11,0";"30,5";"26,9";"36,7";"12,2";"32,9";"47,7";"35,2";"56,5";"34,8"
"Organizzazione, pianificazione";"37,7";"39,9";"16,1";"13,6";"23,2";"23,3";"43,2";"21,5";"48,9";"27,7";"45,9";"28,8";"16,6";"16,5";"39,0";"32,8";"38,5";"30,6";"29,4";"57,6";"46,6";"62,9";"28,8"
"Produzione";"24,7";"22,3";"19,6";"26,2";"39,3";"43,6";"19,8";"33,8";"26,0";"30,0";"27,4";"11,5";"13,1";"23,9";"56,1";"61,3";"19,2";"20,4";"18,8";"27,6";"19,9";"33,6";"9,1"
"Ricerca e sviluppo";"38,7";"35,2";"62,5";"67,0";"71,4";"58,5";"50,6";"76,9";"31,3";"48,8";"32,8";"44,2";"30,0";"35,8";"45,1";"55,5";"35,5";"44,9";"32,9";"34,3";"33,9";"37,6";"37,9"
"Risorse umane, selezione, formazione";"44,2";"56,0";"23,2";"13,6";"16,1";"19,9";"64,2";"18,5";"51,8";"19,2";"44,3";"19,2";"24,4";"18,3";"15,9";"30,3";"67,6";"20,4";"37,6";"43,8";"57,5";"50,2";"57,6"
"Segreteria, affari generali";"26,5";"33,9";"17,9";"11,0";"10,7";"19,1";"27,2";"7,7";"40,1";"14,6";"36,8";"15,4";"12,9";"9,2";"15,9";"21,8";"26,5";"8,2";"22,4";"33,6";"36,5";"32,1";"25,8"
"Sistemi informativi, EDP";"12,0";"9,3";"7,1";"6,3";"10,7";"7,6";"9,9";"20,0";"14,1";"52,1";"16,9";"21,2";"8,7";"5,5";"15,9";"7,6";"8,8";"6,1";"7,1";"14,5";"8,5";"14,2";"7,6"
"Aspetti ritenuti rilevanti nella ricerca del lavoro: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Acquisizione di professionalità";"80,1";"78,1";"81,3";"79,6";"76,8";"86,9";"67,9";"70,8";"85,3";"79,8";"77,7";"75,0";"79,5";"85,3";"78,0";"85,7";"80,5";"79,6";"69,4";"78,1";"82,1";"80,6";"74,2"
"Possibilità di carriera";"71,6";"68,1";"61,6";"66,5";"64,3";"76,7";"51,9";"56,9";"80,8";"77,5";"75,3";"63,5";"64,1";"77,1";"68,3";"72,3";"69,2";"61,2";"51,8";"78,4";"76,2";"83,4";"59,1"
"Possibilità di guadagno";"64,2";"61,2";"58,9";"59,7";"57,1";"69,9";"48,1";"52,3";"72,5";"69,5";"64,5";"53,8";"59,7";"70,6";"53,7";"65,5";"63,6";"59,2";"58,8";"68,2";"68,7";"68,6";"51,5"
"Stabilità/sicurezza del posto di lavoro";"74,0";"74,0";"77,7";"77,0";"69,6";"80,1";"61,7";"53,8";"76,7";"68,5";"72,3";"71,2";"72,9";"74,3";"61,0";"77,3";"76,3";"61,2";"67,1";"76,0";"76,9";"73,5";"69,7"
"Rispondenza a interessi culturali";"48,4";"59,5";"40,2";"48,2";"35,7";"53,0";"64,2";"43,1";"50,4";"36,2";"38,5";"30,8";"51,9";"62,4";"48,8";"43,7";"50,2";"40,8";"62,4";"36,0";"50,0";"34,2";"60,6"
"Coerenza con gli studi";"56,4";"52,2";"61,6";"59,2";"53,6";"68,6";"55,6";"55,4";"50,9";"49,8";"48,3";"59,6";"71,7";"72,5";"47,6";"56,3";"57,8";"57,1";"55,3";"47,0";"55,7";"49,2";"47,0"
"Utilità sociale del lavoro";"45,9";"43,0";"47,3";"42,4";"32,1";"47,9";"49,4";"29,2";"44,7";"27,7";"38,5";"34,6";"64,2";"45,0";"35,4";"49,6";"55,6";"32,7";"29,4";"33,9";"55,7";"30,0";"40,9"
"Prestigio ricevuto dal lavoro";"40,6";"36,2";"31,3";"31,9";"25,0";"48,3";"34,6";"16,9";"48,4";"37,6";"44,9";"36,5";"41,8";"47,7";"32,9";"49,6";"39,6";"22,4";"30,6";"47,7";"43,5";"42,7";"30,3"
"Coinvolgimento e partecipazione all’attività lavorativa e ai processi decisionali";"50,7";"41,6";"48,2";"40,3";"39,3";"58,9";"39,5";"32,3";"56,4";"48,4";"54,1";"28,8";"51,0";"53,2";"45,1";"58,0";"55,3";"32,7";"36,5";"56,2";"56,5";"55,2";"36,4"
"Indipendenza o autonomia";"53,9";"54,4";"57,1";"43,5";"46,4";"61,0";"46,9";"35,4";"57,5";"46,0";"52,0";"40,4";"54,8";"58,7";"52,4";"61,3";"56,6";"57,1";"50,6";"49,1";"55,4";"51,6";"60,6"
"Flessibilità dell’orario di lavoro";"32,4";"31,6";"17,9";"27,7";"19,6";"36,0";"32,1";"16,9";"32,1";"24,9";"33,8";"13,5";"33,9";"42,2";"22,0";"44,5";"35,9";"22,4";"24,7";"31,1";"38,6";"32,1";"24,2"
"Rapporti con i colleghi sul luogo di lavoro";"51,1";"47,2";"45,5";"48,2";"41,1";"62,7";"40,7";"32,3";"48,2";"47,4";"50,0";"28,8";"58,2";"56,9";"48,8";"59,7";"54,5";"44,9";"32,9";"45,9";"56,2";"50,5";"43,9"
"Luogo di lavoro (ubicazione, caratteristiche fisiche dell’ambiente di lavoro)";"39,8";"37,5";"32,1";"36,6";"28,6";"47,5";"42,0";"20,0";"37,0";"40,8";"39,5";"26,9";"42,6";"48,6";"32,9";"49,6";"42,4";"38,8";"34,1";"35,7";"46,1";"36,6";"43,9"
"Tempo libero";"31,3";"31,2";"27,7";"28,3";"26,8";"32,6";"25,9";"26,2";"31,5";"28,2";"28,0";"21,2";"38,3";"35,8";"25,6";"33,6";"32,2";"26,5";"25,9";"25,8";"33,9";"27,9";"34,8"
"Opportunità di contatti con l'estero";"34,4";"33,7";"42,9";"48,7";"46,4";"46,6";"17,3";"52,3";"27,1";"37,1";"38,5";"15,4";"41,3";"44,0";"41,5";"49,6";"18,1";"36,7";"15,3";"38,9";"37,0";"37,9";"45,5"
"Possibilità di utilizzare al meglio le competenze acquisite";"50,9";"38,4";"67,0";"66,5";"60,7";"71,6";"27,2";"55,4";"39,6";"57,7";"54,4";"48,1";"71,2";"64,2";"53,7";"68,1";"39,0";"53,1";"18,8";"44,5";"55,2";"51,5";"56,1"
"Sono interessati a lavorare nei seguenti settori: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Pubblico";"54,7";"41,5";"63,4";"64,9";"66,1";"65,3";"37,0";"55,4";"42,9";"56,3";"69,9";"76,9";"78,5";"50,5";"51,2";"59,7";"44,5";"59,2";"25,9";"48,8";"64,8";"50,5";"69,7"
"Privato (compreso l'avvio di un'attività autonoma/in conto proprio)";"45,8";"27,6";"58,9";"58,6";"67,9";"64,4";"22,2";"61,5";"34,4";"60,6";"42,6";"38,5";"58,5";"45,9";"70,7";"70,6";"33,9";"44,9";"23,5";"50,2";"47,7";"58,8";"50,0"
"Disponibilità a lavorare per tipo di relazione contrattuale: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"ORARIO/MODALITA' LAVORATIVA";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Tempo pieno";"89,1";"85,8";"87,5";"89,0";"85,7";"93,6";"84,0";"90,8";"92,9";"90,6";"89,2";"84,6";"91,7";"87,2";"85,4";"93,3";"86,5";"91,8";"77,6";"94,3";"89,9";"89,4";"86,4"
"Part-time";"44,5";"50,4";"47,3";"51,3";"28,6";"46,2";"50,6";"33,8";"36,4";"31,0";"39,9";"34,6";"43,8";"34,9";"32,9";"47,9";"54,3";"51,0";"45,9";"39,6";"46,6";"37,5";"45,5"
"Telelavoro";"14,0";"17,1";"12,5";"12,0";"7,1";"14,0";"18,5";"9,2";"16,1";"15,0";"11,8";"3,8";"11,8";"19,3";"18,3";"16,0";"14,5";"18,4";"17,6";"13,1";"13,5";"10,4";"15,2"
"CONTRATTO";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Tempo indeterminato";"92,6";"91,7";"91,1";"91,6";"92,9";"94,5";"92,6";"83,1";"94,0";"89,2";"92,6";"90,4";"92,8";"89,0";"90,2";"91,6";"94,4";"81,6";"85,9";"94,3";"94,6";"93,2";"84,8"
"A tempo determinato";"39,4";"43,6";"38,4";"44,5";"39,3";"39,8";"38,3";"27,7";"34,8";"39,0";"30,1";"32,7";"41,6";"32,1";"37,8";"39,5";"42,5";"26,5";"42,4";"35,0";"40,2";"38,8";"37,9"
"Collaborazione (compreso lavoro a progetto)";"28,5";"30,7";"36,6";"35,6";"30,4";"30,5";"27,2";"21,5";"28,4";"23,0";"15,9";"17,3";"27,9";"33,9";"39,0";"37,0";"31,7";"30,6";"24,7";"28,3";"25,9";"23,9";"31,8"
"Inserimento (ex formazione e lavoro)";"28,8";"28,8";"34,8";"34,6";"28,6";"37,3";"24,7";"18,5";"30,0";"23,9";"20,9";"21,2";"27,1";"33,0";"35,4";"37,0";"29,2";"30,6";"24,7";"31,4";"28,2";"27,5";"27,3"
"Stage";"28,9";"30,4";"37,5";"36,1";"28,6";"35,2";"29,6";"18,5";"31,3";"23,0";"19,9";"17,3";"24,0";"39,4";"32,9";"38,7";"28,6";"28,6";"24,7";"33,2";"26,2";"30,0";"22,7"
"Apprendistato";"25,1";"24,5";"27,7";"29,3";"26,8";"29,7";"28,4";"15,4";"27,7";"21,1";"19,6";"21,2";"20,4";"34,9";"30,5";"35,3";"25,2";"26,5";"21,2";"29,3";"24,4";"25,6";"19,7"
"Lavoro interinale";"21,0";"21,4";"27,7";"27,2";"21,4";"24,6";"24,7";"10,8";"23,8";"13,6";"13,5";"5,8";"19,5";"29,4";"25,6";"30,3";"21,0";"18,4";"18,8";"19,8";"22,5";"19,9";"16,7"
"Autonomo/in conto proprio";"38,3";"31,9";"39,3";"37,7";"39,3";"43,6";"33,3";"27,7";"47,1";"30,0";"33,1";"13,5";"40,8";"52,3";"57,3";"46,2";"38,2";"53,1";"34,1";"44,5";"30,6";"38,3";"39,4"
"Disponibilità a lavorare nelle seguenti aree geografiche: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Provincia di residenza";"73,8";"66,8";"77,7";"71,7";"80,4";"75,4";"72,8";"58,5";"76,4";"75,6";"74,0";"80,8";"75,8";"75,2";"75,6";"81,5";"79,6";"73,5";"68,2";"74,6";"69,2";"72,1";"62,1"
"Provincia degli studi";"57,3";"39,4";"75,0";"73,3";"76,8";"71,2";"35,8";"58,5";"50,9";"70,9";"61,1";"78,8";"70,5";"55,0";"73,2";"77,3";"44,3";"65,3";"23,5";"59,4";"60,1";"66,3";"59,1"
"Regione degli studi";"53,3";"36,9";"72,3";"71,2";"76,8";"64,8";"27,2";"52,3";"47,8";"64,3";"57,4";"75,0";"68,8";"55,0";"72,0";"74,8";"39,0";"67,3";"17,6";"53,0";"55,4";"60,1";"56,1"
"Italia settentrionale";"49,0";"47,2";"52,7";"54,5";"60,7";"54,2";"54,3";"55,4";"51,1";"48,4";"44,3";"36,5";"53,0";"50,5";"47,6";"53,8";"42,8";"61,2";"38,8";"51,9";"43,3";"52,1";"51,5"
"Italia centrale";"48,2";"48,6";"51,8";"51,8";"60,7";"51,7";"46,9";"50,8";"51,1";"46,0";"44,9";"38,5";"53,0";"47,7";"50,0";"54,6";"43,1";"61,2";"41,2";"46,3";"42,5";"47,9";"51,5"
"Italia meridionale";"55,6";"51,0";"63,4";"58,6";"66,1";"61,9";"54,3";"46,2";"59,2";"55,9";"55,4";"53,8";"60,1";"59,6";"62,2";"68,1";"53,2";"63,3";"51,8";"52,7";"52,8";"52,8";"45,5"
"Stato europeo";"50,8";"58,6";"57,1";"53,9";"67,9";"56,8";"60,5";"66,2";"49,6";"53,1";"45,9";"32,7";"50,9";"59,6";"51,2";"52,9";"39,3";"55,1";"35,3";"49,5";"47,9";"54,7";"47,0"
"Stato extraeuropeo";"34,4";"40,5";"40,2";"35,1";"46,4";"39,8";"37,0";"44,6";"34,2";"38,0";"25,3";"17,3";"32,3";"44,0";"40,2";"37,8";"24,9";"44,9";"25,9";"35,7";"31,6";"40,2";"31,8"
"Disponibilità ad effettuare trasferte di lavoro (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Sì, anche con trasferimenti di residenza";"57,2";"57,4";"59,8";"58,1";"67,9";"60,6";"67,9";"67,7";"61,7";"55,9";"44,3";"50,0";"61,7";"58,7";"61,0";"63,0";"50,8";"51,0";"55,3";"58,0";"57,3";"57,7";"54,5"
"Sì, anche frequenti (senza cambi di residenza)";"22,8";"23,7";"20,5";"24,6";"26,8";"24,6";"17,3";"21,5";"23,1";"22,1";"23,3";"32,7";"19,3";"25,7";"26,8";"16,8";"21,9";"32,7";"18,8";"25,8";"20,7";"25,6";"27,3"
"Sì, ma solo in numero limitato";"14,4";"15,1";"17,0";"13,1";"1,8";"9,3";"9,9";"7,7";"11,5";"16,4";"20,6";"13,5";"15,1";"9,2";"9,8";"16,0";"17,7";"10,2";"16,5";"13,8";"15,0";"11,7";"12,1"
"Non disponibili a trasferte";"2,6";"1,7";"0,9";"0,5";"-";"2,5";"2,5";"-";"1,6";"2,3";"5,1";"3,8";"0,8";"3,7";"1,2";"3,4";"6,2";"-";"4,7";"1,4";"2,8";"2,1";"1,5"
