"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Economia, management e diritto dell'impresa (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi umanistici (DISUM) (Dip.)"
"Stabilità/sicurezza del posto di lavoro";"74,3";"75,9";"75,7";"72,1";"72,9";"74,2";"80,1";"57,4";"71,9";"66,4";"73,6";"66,7";"73,9";"72,9";"66,7";"77,7";"76,5";"71,2";"73,6";"80,8";"69,5"
"Rispondenza a interessi culturali";"48,0";"59,4";"47,8";"43,1";"52,5";"36,3";"50,0";"53,7";"44,6";"30,5";"37,6";"36,7";"55,4";"53,4";"30,8";"43,9";"51,2";"49,2";"34,0";"50,4";"66,0"
"Coerenza con gli studi";"58,8";"53,0";"61,8";"66,7";"69,5";"49,7";"68,5";"66,7";"52,1";"58,8";"43,6";"48,3";"77,1";"68,6";"48,7";"60,8";"60,9";"59,3";"50,6";"61,1";"53,8"
"Utilità sociale del lavoro";"46,9";"45,8";"40,4";"44,6";"42,4";"34,5";"50,0";"25,9";"41,0";"26,0";"35,7";"31,7";"67,0";"48,3";"38,5";"40,5";"55,1";"37,3";"31,3";"62,5";"48,9"
"Prestigio ricevuto dal lavoro";"41,6";"37,3";"42,6";"39,2";"39,0";"43,8";"50,9";"20,4";"49,1";"37,4";"48,5";"21,7";"41,8";"42,4";"41,0";"42,6";"38,7";"27,1";"45,0";"43,1";"35,9"
"Coinvolgimento e partecipazione all’attività lavorativa e ai processi decisionali";"50,9";"44,4";"39,7";"41,2";"40,7";"56,9";"56,0";"29,6";"55,2";"45,4";"51,5";"28,3";"54,6";"47,5";"48,7";"52,7";"52,8";"35,6";"52,1";"57,8";"45,0"
"Indipendenza o autonomia";"57,2";"59,1";"58,1";"52,5";"57,6";"54,2";"59,3";"38,9";"58,2";"48,9";"56,7";"31,7";"61,2";"63,6";"46,2";"55,4";"60,2";"45,8";"53,8";"60,7";"55,7"
"Flessibilità dell’orario di lavoro";"33,4";"34,0";"32,4";"28,4";"28,8";"32,8";"39,4";"14,8";"28,0";"31,7";"34,1";"18,3";"37,2";"29,7";"33,3";"36,5";"35,2";"30,5";"31,3";"35,4";"33,2"
"Rapporti con i colleghi sul luogo di lavoro";"52,4";"48,6";"53,7";"50,0";"50,8";"52,7";"62,0";"37,0";"42,5";"51,9";"48,0";"38,3";"61,1";"55,9";"48,7";"59,5";"54,1";"54,2";"54,3";"56,7";"41,2"
"Luogo di lavoro (ubicazione, caratteristiche fisiche dell’ambiente di lavoro)";"40,6";"39,9";"44,9";"35,8";"39,0";"39,8";"44,9";"16,7";"34,2";"31,7";"43,6";"26,7";"47,6";"42,4";"38,5";"45,9";"41,9";"39,0";"38,4";"41,7";"38,2"
"Tempo libero";"33,1";"34,3";"33,1";"27,0";"35,6";"31,2";"33,8";"16,7";"28,6";"27,1";"31,6";"18,3";"39,7";"33,1";"35,9";"33,1";"32,1";"30,5";"29,6";"40,0";"35,1"
"Opportunità di contatti con l'estero";"42,9";"58,8";"50,0";"47,5";"47,5";"44,4";"48,1";"46,3";"41,1";"35,5";"37,6";"23,3";"43,2";"49,2";"39,7";"50,7";"31,0";"49,2";"39,1";"39,3";"40,1"
"Possibilità di utilizzare al meglio le competenze acquisite";"66,1";"69,3";"75,0";"71,1";"62,7";"59,6";"67,6";"68,5";"60,2";"62,6";"55,0";"56,7";"77,1";"72,9";"52,6";"74,3";"66,8";"66,1";"57,2";"66,5";"63,0"
"Sono interessati a lavorare nei seguenti settori: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Pubblico";"61,9";"64,9";"59,6";"61,8";"50,8";"49,2";"56,0";"37,0";"58,5";"49,6";"64,6";"53,3";"74,9";"56,8";"52,6";"55,4";"67,2";"59,3";"51,1";"71,9";"59,9"
"Privato (compreso l'avvio di un'attività autonoma/in conto proprio)";"51,8";"44,5";"53,7";"61,8";"50,8";"61,0";"59,3";"42,6";"48,6";"61,1";"47,1";"35,0";"56,3";"61,9";"50,0";"60,8";"47,8";"45,8";"57,7";"46,4";"39,7"
"Disponibilità a lavorare per tipo di relazione contrattuale: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"ORARIO/MODALITA' LAVORATIVA";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Tempo pieno";"88,0";"83,1";"90,4";"89,2";"84,7";"92,5";"87,0";"90,7";"90,1";"87,8";"86,6";"81,7";"90,1";"89,0";"84,6";"91,2";"86,5";"94,9";"89,7";"89,2";"80,9"
"Part-time";"44,4";"51,9";"50,0";"43,6";"33,9";"37,8";"44,9";"24,1";"39,9";"26,0";"38,1";"36,7";"42,5";"47,5";"43,6";"44,6";"55,4";"45,8";"39,9";"47,5";"46,6"
"Telelavoro";"20,7";"23,1";"24,3";"20,1";"10,2";"18,2";"21,3";"24,1";"20,0";"33,6";"18,8";"26,7";"16,8";"23,7";"20,5";"24,3";"22,0";"27,1";"18,1";"19,4";"20,2"
"CONTRATTO";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"A tutele crescenti ";"71,5";"65,1";"77,9";"79,4";"78,0";"73,0";"79,6";"68,5";"73,3";"77,5";"71,4";"80,0";"79,5";"78,0";"76,9";"81,8";"64,6";"71,2";"69,2";"65,6";"59,9"
"A tempo determinato";"39,6";"40,8";"40,4";"46,6";"52,5";"44,6";"34,7";"33,3";"39,1";"34,0";"36,0";"30,0";"39,3";"42,4";"37,2";"37,2";"42,6";"35,6";"34,5";"37,5";"36,3"
"Stage";"24,7";"25,2";"36,8";"33,3";"28,8";"30,7";"31,0";"20,4";"27,4";"13,7";"22,9";"30,0";"17,8";"33,9";"26,9";"25,0";"23,7";"22,0";"24,0";"22,5";"24,8"
"Apprendistato";"22,3";"21,7";"31,6";"29,4";"25,4";"26,7";"25,0";"18,5";"25,9";"14,1";"21,0";"25,0";"15,9";"32,2";"25,6";"24,3";"22,1";"20,3";"21,0";"22,2";"22,9"
"Somministrazione di lavoro (ex interinale)";"16,0";"15,6";"22,8";"18,6";"25,4";"16,1";"17,6";"13,0";"19,1";"9,2";"16,6";"16,7";"13,9";"25,4";"20,5";"17,6";"14,9";"13,6";"13,9";"16,4";"15,6"
"Occasionale accessorio (voucher o buoni lavoro)";"9,6";"10,2";"11,0";"11,3";"11,9";"8,6";"12,0";"9,3";"11,1";"4,6";"9,5";"10,0";"10,0";"22,0";"12,8";"10,8";"8,5";"11,9";"7,1";"7,5";"8,0"
"Autonomo/in conto proprio";"36,1";"31,5";"38,2";"33,8";"33,9";"34,9";"33,3";"11,1";"44,3";"26,7";"31,1";"25,0";"41,4";"50,0";"44,9";"42,6";"37,7";"33,9";"39,4";"30,7";"30,2"
"Disponibilità a lavorare nelle seguenti aree geografiche: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Provincia di residenza";"74,0";"67,7";"78,7";"76,5";"76,3";"73,8";"73,1";"57,4";"74,7";"65,6";"72,2";"68,3";"76,7";"72,0";"69,2";"80,4";"79,7";"72,9";"75,3";"75,6";"70,6"
"Provincia degli studi";"73,6";"69,6";"80,1";"77,5";"78,0";"75,8";"69,0";"59,3";"70,8";"65,6";"69,5";"73,3";"75,8";"73,7";"71,8";"81,8";"77,5";"79,7";"74,6";"75,6";"68,7"
"Regione degli studi";"68,6";"64,6";"76,5";"75,0";"72,9";"70,2";"67,1";"53,7";"67,9";"59,9";"62,1";"66,7";"72,0";"70,3";"67,9";"77,0";"70,4";"76,3";"67,2";"70,5";"64,9"
"Italia settentrionale";"49,7";"46,8";"55,1";"52,9";"61,0";"54,2";"47,7";"57,4";"52,4";"56,5";"44,7";"45,0";"51,8";"54,2";"44,9";"52,7";"44,1";"52,5";"49,9";"47,8";"48,1"
"Italia centrale";"48,4";"47,2";"55,1";"52,0";"59,3";"52,1";"49,1";"50,0";"53,1";"46,9";"43,1";"38,3";"50,5";"57,6";"41,0";"51,4";"43,1";"47,5";"45,7";"48,7";"46,6"
"Italia meridionale";"57,0";"54,0";"65,4";"59,3";"62,7";"56,8";"62,0";"46,3";"58,3";"50,0";"52,3";"45,0";"59,1";"64,4";"56,4";"66,9";"57,6";"62,7";"53,8";"59,3";"52,3"
"Stato europeo";"50,8";"61,0";"52,9";"53,9";"55,9";"51,4";"51,9";"70,4";"51,2";"56,1";"44,4";"40,0";"49,7";"54,2";"53,8";"53,4";"41,0";"57,6";"50,4";"46,1";"50,8"
"Stato extraeuropeo";"33,3";"40,2";"41,9";"36,8";"45,8";"34,8";"33,3";"50,0";"31,8";"39,3";"28,3";"25,0";"33,6";"33,9";"38,5";"39,9";"25,2";"44,1";"31,5";"26,2";"32,8"
"Disponibilità ad effettuare trasferte di lavoro (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Sì, anche con trasferimenti di residenza";"57,5";"58,8";"60,3";"60,3";"52,5";"59,3";"59,7";"64,8";"61,5";"53,1";"51,8";"53,3";"60,1";"65,3";"53,8";"61,5";"51,2";"57,6";"54,8";"58,3";"57,6"
"Sì, anche frequenti (senza cambi di residenza)";"23,8";"24,1";"25,7";"22,5";"23,7";"24,2";"24,1";"25,9";"22,7";"30,2";"23,2";"28,3";"19,9";"19,5";"34,6";"24,3";"22,5";"33,9";"29,8";"23,4";"22,1"
"Sì, ma solo in numero limitato";"14,5";"13,1";"13,2";"13,2";"22,0";"13,4";"10,6";"5,6";"12,5";"13,7";"15,0";"11,7";"15,8";"11,9";"9,0";"9,5";"21,0";"6,8";"12,2";"15,0";"14,5"
"Non disponibili a trasferte";"2,2";"2,1";"-";"1,5";"1,7";"1,2";"3,7";"-";"1,4";"0,4";"6,0";"3,3";"1,8";"0,8";"1,3";"2,0";"3,8";"-";"1,7";"1,4";"2,7"
