"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Filosofia, letteratura storia e scienze sociali (FLESS) (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze dell'antichita' e del tardoantico (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi aziendali e giusprivatistici (Dip.)"
"Legale";"19,8";"14,0";"9,7";"8,1";"13,8";"7,7";"11,5";"6,1";"82,5";"10,5";"44,9";"14,5";"10,0";"6,4";"11,3";"10,9";"11,6";"6,5";"7,8";"23,1";"29,5";"16,6"
"Logistica, distribuzione";"23,9";"22,3";"17,9";"19,4";"13,8";"27,3";"23,1";"13,4";"26,8";"19,5";"36,5";"30,4";"11,6";"15,6";"32,1";"34,5";"18,1";"19,6";"14,6";"42,6";"23,8";"42,5"
"Marketing, comunicazione, pubbliche relazioni";"37,8";"56,6";"11,9";"19,4";"17,2";"25,3";"51,3";"8,5";"52,3";"26,8";"50,6";"31,9";"13,7";"14,7";"37,7";"36,4";"38,7";"15,2";"39,8";"46,8";"49,0";"55,2"
"Organizzazione, pianificazione";"43,3";"48,1";"26,1";"25,6";"22,4";"30,9";"47,4";"20,7";"57,9";"33,2";"53,6";"46,4";"21,2";"23,9";"47,2";"43,6";"42,8";"26,1";"45,6";"59,0";"56,0";"67,8"
"Produzione";"29,8";"29,3";"30,6";"38,1";"41,4";"49,5";"25,6";"19,5";"32,0";"38,2";"33,8";"24,6";"18,0";"29,4";"50,9";"62,7";"23,8";"30,4";"29,1";"33,0";"30,2";"36,1"
"Ricerca e sviluppo";"44,5";"42,5";"67,9";"75,6";"72,4";"61,9";"53,8";"85,4";"36,1";"62,7";"40,7";"56,5";"34,3";"42,2";"54,7";"61,8";"38,8";"58,7";"50,5";"40,4";"44,0";"41,7"
"Risorse umane, selezione, formazione";"47,8";"60,4";"30,6";"28,8";"19,0";"28,9";"67,9";"15,9";"59,2";"28,2";"52,9";"40,6";"27,8";"22,9";"35,8";"40,0";"66,9";"28,3";"52,4";"51,6";"65,8";"48,4"
"Segreteria, affari generali";"29,5";"38,5";"17,9";"18,1";"15,5";"20,1";"37,2";"4,9";"40,0";"20,0";"41,4";"26,1";"16,1";"15,6";"20,8";"28,2";"29,7";"19,6";"34,0";"40,1";"47,7";"32,4"
"Sistemi informativi, EDP";"14,7";"14,7";"11,9";"8,8";"12,1";"11,3";"14,1";"18,3";"11,9";"56,4";"21,7";"31,9";"10,0";"11,0";"9,4";"11,8";"11,3";"26,1";"11,7";"20,2";"12,4";"12,7"
"Aspetti ritenuti rilevanti nella ricerca del lavoro: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Acquisizione di professionalità";"80,9";"78,5";"83,6";"78,8";"79,3";"85,6";"75,6";"78,0";"87,7";"82,7";"79,1";"79,7";"84,8";"85,3";"75,5";"79,1";"80,6";"63,0";"71,8";"80,1";"74,8";"79,1"
"Possibilità di carriera";"69,4";"67,5";"61,2";"62,5";"53,4";"73,7";"60,3";"56,1";"79,9";"74,5";"74,9";"56,5";"66,1";"67,0";"69,8";"69,1";"65,9";"58,7";"59,2";"76,3";"69,5";"77,4"
"Possibilità di guadagno";"62,7";"62,1";"55,2";"55,0";"46,6";"73,2";"51,3";"47,6";"69,1";"66,4";"63,1";"50,7";"63,0";"62,4";"66,0";"58,2";"64,0";"47,8";"51,5";"65,1";"63,1";"63,7"
"Stabilità/sicurezza del posto di lavoro";"73,6";"77,1";"71,6";"70,6";"63,8";"84,5";"64,1";"54,9";"78,0";"70,0";"73,8";"73,9";"75,5";"73,4";"69,8";"68,2";"75,5";"58,7";"69,9";"69,9";"72,1";"69,3"
"Rispondenza a interessi culturali";"46,8";"58,4";"44,8";"36,9";"27,6";"49,5";"61,5";"53,7";"44,1";"32,7";"38,8";"42,0";"54,0";"47,7";"37,7";"40,9";"52,0";"52,2";"60,2";"31,7";"43,0";"33,2"
"Coerenza con gli studi";"54,6";"50,3";"61,2";"50,0";"36,2";"71,6";"50,0";"48,8";"49,5";"46,4";"45,2";"52,2";"71,5";"58,7";"37,7";"54,5";"58,4";"52,2";"43,7";"44,2";"48,0";"45,6"
"Utilità sociale del lavoro";"41,6";"36,5";"50,7";"38,1";"25,9";"55,7";"44,9";"25,6";"32,0";"27,7";"36,9";"47,8";"62,9";"35,8";"37,7";"38,2";"41,3";"30,4";"30,1";"33,3";"49,3";"29,6"
"Prestigio ricevuto dal lavoro";"37,2";"30,2";"41,0";"28,1";"24,1";"51,0";"34,6";"22,0";"42,5";"34,5";"42,2";"27,5";"43,4";"42,2";"30,2";"48,2";"30,4";"23,9";"26,2";"37,8";"38,9";"42,0"
"Coinvolgimento e partecipazione all’attività lavorativa e ai processi decisionali";"45,4";"34,4";"46,3";"37,5";"36,2";"53,6";"38,5";"37,8";"47,7";"40,0";"49,4";"43,5";"53,6";"51,4";"56,6";"55,5";"39,9";"45,7";"35,9";"43,3";"49,7";"51,6"
"Indipendenza o autonomia";"51,8";"51,8";"51,5";"35,0";"37,9";"58,8";"55,1";"50,0";"55,9";"43,6";"45,6";"39,1";"56,4";"53,2";"54,7";"48,2";"55,1";"39,1";"50,5";"45,5";"49,3";"52,4"
"Flessibilità dell’orario di lavoro";"25,7";"22,4";"24,6";"21,9";"15,5";"26,8";"28,2";"12,2";"24,4";"21,8";"27,4";"18,8";"32,7";"28,4";"22,6";"28,2";"25,4";"28,3";"20,4";"23,4";"28,2";"24,7"
"Rapporti con i colleghi sul luogo di lavoro";"45,2";"37,8";"49,3";"40,0";"44,8";"54,1";"39,7";"31,7";"40,2";"45,0";"47,5";"37,7";"53,6";"52,3";"49,1";"56,4";"41,0";"45,7";"35,0";"43,9";"48,3";"47,8"
"Luogo di lavoro (ubicazione, caratteristiche fisiche dell’ambiente di lavoro)";"33,8";"29,5";"35,8";"33,8";"29,3";"41,2";"35,9";"17,1";"27,9";"34,1";"38,4";"21,7";"42,0";"35,8";"26,4";"35,5";"31,9";"34,8";"23,3";"29,5";"37,9";"34,0"
"Tempo libero";"27,5";"25,7";"25,4";"17,5";"13,8";"32,0";"34,6";"19,5";"25,1";"25,0";"26,6";"18,8";"34,7";"24,8";"28,3";"24,5";"27,9";"26,1";"32,0";"27,2";"29,5";"23,7"
"Tipo di lavoro cercato (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Nessuna preferenza";"53,3";"59,6";"59,7";"56,9";"69,0";"66,5";"44,9";"68,3";"49,7";"62,7";"36,5";"58,0";"53,6";"49,5";"54,7";"57,3";"51,8";"60,9";"65,0";"43,6";"54,0";"46,2"
"Alle dipendenze nel settore pubblico";"24,4";"23,9";"17,9";"17,5";"15,5";"7,7";"37,2";"14,6";"25,3";"6,4";"38,8";"23,2";"32,7";"17,4";"15,1";"16,4";"30,7";"13,0";"27,2";"17,6";"32,9";"14,3"
"Alle dipendenze nel settore privato";"13,2";"11,1";"14,9";"20,6";"10,3";"16,0";"10,3";"11,0";"9,7";"23,6";"14,1";"18,8";"6,7";"15,6";"7,5";"11,8";"10,3";"17,4";"2,9";"21,2";"7,7";"26,2"
"In conto proprio";"8,0";"4,4";"6,0";"3,8";"1,7";"7,7";"6,4";"4,9";"14,0";"5,5";"8,0";"-";"6,2";"17,4";"22,6";"14,5";"6,0";"4,3";"4,9";"16,7";"3,7";"12,4"
"Disponibilità a lavorare per tipo di relazione contrattuale: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"ORARIO/MODALITA' LAVORATIVA";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Tempo pieno";"89,5";"86,7";"82,8";"91,3";"84,5";"92,3";"87,2";"82,9";"92,0";"92,7";"87,8";"87,0";"91,4";"87,2";"84,9";"92,7";"88,4";"84,8";"78,6";"93,3";"90,6";"90,9"
"Part-time";"44,4";"53,3";"38,8";"43,8";"39,7";"47,9";"55,1";"36,6";"35,0";"35,5";"37,6";"36,2";"41,4";"46,8";"35,8";"41,8";"55,3";"50,0";"52,4";"38,8";"47,0";"36,7"
"Telelavoro";"14,7";"18,4";"15,7";"11,9";"15,5";"12,4";"19,2";"12,2";"14,7";"16,4";"16,7";"13,0";"12,5";"19,3";"17,0";"16,4";"16,3";"26,1";"16,5";"14,4";"13,8";"9,1"
"CONTRATTO";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Tempo indeterminato";"93,2";"91,4";"88,8";"93,8";"89,7";"94,3";"87,2";"90,2";"95,7";"89,1";"92,0";"95,7";"95,6";"91,7";"88,7";"90,9";"94,2";"87,0";"89,3";"95,2";"92,3";"93,5"
"A tempo determinato";"40,4";"44,6";"38,8";"44,4";"46,6";"40,2";"41,0";"32,9";"37,4";"37,7";"38,4";"40,6";"38,7";"46,8";"35,8";"41,8";"43,5";"32,6";"42,7";"35,6";"41,9";"38,4"
"Collaborazione (compreso lavoro a progetto)";"29,7";"32,1";"34,3";"32,5";"37,9";"33,0";"37,2";"29,3";"32,6";"25,0";"25,5";"29,0";"26,5";"42,2";"41,5";"33,6";"31,5";"39,1";"38,8";"27,9";"26,5";"23,1"
"Inserimento (ex formazione e lavoro)";"29,0";"30,6";"32,8";"30,0";"36,2";"30,4";"29,5";"15,9";"31,7";"24,1";"28,9";"31,9";"26,8";"38,5";"43,4";"32,7";"28,5";"30,4";"36,9";"28,5";"29,2";"25,9"
"Stage";"28,9";"31,0";"34,3";"36,9";"29,3";"36,1";"32,1";"22,0";"33,7";"19,1";"30,0";"34,8";"22,1";"42,2";"30,2";"30,9";"27,7";"34,8";"37,9";"26,3";"30,2";"28,5"
"Apprendistato";"24,7";"27,8";"28,4";"29,4";"24,1";"26,8";"26,9";"18,3";"29,2";"17,3";"26,6";"34,8";"18,4";"35,8";"26,4";"28,2";"23,2";"32,6";"32,0";"23,4";"28,5";"23,3"
"Lavoro interinale";"21,5";"24,8";"26,9";"25,0";"22,4";"26,3";"25,6";"14,6";"23,5";"15,5";"20,9";"15,9";"17,7";"31,2";"22,6";"25,5";"21,8";"28,3";"22,3";"18,9";"23,5";"18,4"
"Autonomo/in conto proprio";"40,3";"36,6";"41,8";"31,9";"32,8";"40,7";"38,5";"23,2";"52,1";"35,5";"35,0";"26,1";"43,1";"49,5";"64,2";"51,8";"38,7";"32,6";"33,0";"43,6";"35,2";"40,6"
"Disponibilità a lavorare nelle seguenti aree geografiche: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Provincia di residenza";"74,2";"69,1";"74,6";"75,0";"69,0";"78,9";"75,6";"62,2";"79,0";"68,6";"73,8";"75,4";"75,0";"67,0";"81,1";"81,8";"78,3";"63,0";"67,0";"76,3";"74,8";"71,2"
"Sede degli studi";"71,5";"68,4";"70,1";"76,3";"60,3";"70,6";"76,9";"67,1";"79,5";"68,2";"65,8";"69,6";"69,5";"58,7";"69,8";"79,1";"75,7";"63,0";"73,8";"75,0";"72,5";"69,3"
"Italia settentrionale";"47,7";"48,6";"47,0";"55,0";"56,9";"51,5";"43,6";"52,4";"52,9";"49,1";"43,0";"47,8";"50,9";"47,7";"45,3";"53,6";"39,5";"37,0";"39,8";"42,0";"43,3";"54,0"
"Italia centrale";"47,7";"49,4";"47,0";"50,6";"55,2";"52,6";"47,4";"50,0";"49,9";"45,0";"41,1";"40,6";"50,5";"47,7";"43,4";"54,5";"42,0";"41,3";"50,5";"41,0";"45,6";"53,0"
"Italia meridionale";"53,1";"51,9";"51,5";"58,8";"56,9";"58,8";"55,1";"51,2";"53,8";"49,5";"47,1";"49,3";"56,8";"56,9";"66,0";"63,6";"51,2";"47,8";"50,5";"45,2";"51,3";"53,6"
"Stato europeo";"48,5";"58,3";"50,7";"52,5";"60,3";"55,7";"47,4";"62,2";"51,8";"56,4";"39,9";"47,8";"47,9";"61,5";"52,8";"53,6";"34,1";"52,2";"47,6";"42,9";"45,6";"52,1"
"Stato extraeuropeo";"35,4";"42,1";"40,3";"41,3";"43,1";"39,7";"30,8";"51,2";"35,0";"42,7";"31,9";"27,5";"33,6";"49,5";"41,5";"45,5";"22,7";"43,5";"35,9";"30,8";"31,2";"41,9"
"Disponibilità ad effettuare trasferte di lavoro (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Sì, anche con trasferimenti di residenza";"57,8";"60,6";"61,2";"66,9";"65,5";"61,3";"55,1";"81,7";"62,6";"60,0";"47,9";"72,5";"61,3";"60,6";"39,6";"58,2";"47,2";"63,0";"50,5";"52,9";"57,0";"60,3"
"Sì, anche frequenti (senza cambi di residenza)";"23,2";"23,3";"23,9";"18,1";"19,0";"23,2";"25,6";"12,2";"23,3";"25,9";"25,1";"13,0";"20,1";"25,7";"45,3";"25,5";"23,2";"15,2";"25,2";"28,2";"23,2";"25,4"
"Sì, ma solo in numero limitato";"13,9";"11,5";"9,7";"12,5";"12,1";"11,3";"12,8";"4,9";"10,6";"9,1";"17,5";"10,1";"14,1";"10,1";"15,1";"11,8";"21,9";"15,2";"15,5";"15,7";"15,4";"9,6"
"Non disponibili a trasferte";"2,6";"2,0";"1,5";"0,6";"-";"3,6";"3,8";"-";"1,5";"1,8";"3,8";"4,3";"2,3";"3,7";"-";"1,8";"5,0";"-";"2,9";"2,6";"2,0";"2,0"
