"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Filosofia, letteratura storia e scienze sociali (FLESS) (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze dell'antichita' e del tardoantico (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi aziendali e giusprivatistici (Dip.)"
"Marketing, comunicazione, pubbliche relazioni";"38,1";"56,0";"16,5";"14,8";"11,1";"29,2";"57,1";"9,6";"49,6";"22,8";"53,2";"25,4";"16,4";"23,1";"37,5";"36,2";"42,0";"34,1";"52,4";"51,9";"46,6";"52,9"
"Organizzazione, pianificazione";"42,5";"47,0";"22,6";"23,3";"28,4";"33,8";"56,2";"15,4";"51,6";"33,0";"62,0";"37,3";"24,8";"32,7";"47,9";"44,9";"41,5";"46,3";"51,4";"57,7";"55,9";"64,8"
"Produzione";"29,0";"25,1";"28,7";"44,4";"45,7";"52,8";"21,9";"32,7";"28,6";"33,5";"35,1";"18,6";"19,0";"41,3";"66,7";"61,4";"23,1";"31,7";"31,4";"32,4";"27,0";"36,0"
"Ricerca e sviluppo";"43,6";"41,4";"69,6";"73,0";"82,7";"62,1";"55,2";"84,6";"32,9";"57,7";"40,4";"45,8";"33,4";"49,0";"54,2";"68,5";"40,1";"56,1";"52,4";"43,6";"38,6";"39,8"
"Risorse umane, selezione, formazione";"47,8";"59,3";"27,8";"26,5";"24,7";"30,8";"76,2";"15,4";"50,8";"27,0";"55,0";"20,3";"29,2";"26,0";"33,3";"33,1";"70,3";"31,7";"61,0";"52,7";"69,1";"50,6"
"Segreteria, affari generali";"29,4";"39,1";"20,0";"13,2";"12,3";"23,1";"40,0";"9,6";"38,5";"18,6";"52,0";"16,9";"16,8";"20,2";"25,0";"23,6";"31,3";"31,7";"36,2";"39,0";"46,9";"30,0"
"Sistemi informativi, EDP";"14,0";"10,7";"11,3";"8,5";"16,0";"12,3";"9,5";"25,0";"12,9";"56,3";"19,3";"25,4";"12,1";"11,5";"16,7";"11,0";"10,2";"29,3";"19,0";"16,2";"12,9";"12,4"
"Aspetti ritenuti rilevanti nella ricerca del lavoro: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Acquisizione di professionalità";"81,7";"77,8";"86,1";"79,4";"86,4";"88,2";"69,5";"80,8";"81,9";"79,1";"83,0";"79,7";"85,7";"84,6";"83,3";"72,4";"80,4";"82,9";"79,0";"84,2";"78,5";"82,7"
"Possibilità di carriera";"68,8";"65,3";"60,9";"61,4";"70,4";"69,2";"56,2";"51,9";"75,6";"73,5";"75,4";"49,2";"66,1";"66,3";"60,4";"65,4";"68,3";"68,3";"60,0";"76,3";"68,5";"80,2"
"Possibilità di guadagno";"61,3";"61,3";"60,0";"57,1";"60,5";"66,2";"45,7";"42,3";"63,1";"62,8";"66,1";"47,5";"62,3";"68,3";"66,7";"56,7";"63,4";"48,8";"59,0";"66,8";"58,8";"57,7"
"Stabilità/sicurezza del posto di lavoro";"74,3";"76,6";"79,1";"69,8";"70,4";"81,0";"64,8";"53,8";"73,2";"66,0";"76,6";"71,2";"77,8";"77,9";"66,7";"63,0";"77,3";"75,6";"70,5";"75,9";"69,8";"69,4"
"Rispondenza a interessi culturali";"47,4";"56,4";"53,0";"42,3";"45,7";"56,9";"58,1";"40,4";"42,3";"28,8";"38,0";"40,7";"54,1";"57,7";"52,1";"41,7";"49,4";"61,0";"68,6";"37,8";"40,8";"31,1"
"Coerenza con gli studi";"54,6";"48,6";"62,6";"56,6";"53,1";"64,1";"46,7";"51,9";"46,8";"39,1";"48,0";"50,8";"73,7";"65,4";"56,3";"54,3";"52,4";"68,3";"47,6";"43,2";"47,3";"44,5"
"Indipendenza o autonomia";"52,1";"52,9";"48,7";"43,9";"40,7";"59,5";"52,4";"34,6";"52,2";"40,5";"52,6";"39,0";"56,3";"66,3";"66,7";"53,5";"56,2";"61,0";"45,7";"49,0";"44,4";"46,5"
"Tempo libero";"26,9";"25,6";"23,5";"21,7";"22,2";"33,3";"22,9";"19,2";"20,8";"22,8";"26,9";"15,3";"35,1";"36,5";"33,3";"35,4";"28,7";"31,7";"16,2";"26,1";"22,8";"18,5"
"Tipo di lavoro cercato (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Nessuna preferenza";"55,1";"60,3";"65,2";"61,4";"64,2";"62,6";"61,0";"57,7";"48,4";"59,1";"53,2";"45,8";"58,3";"53,8";"52,1";"55,9";"50,9";"65,9";"57,1";"48,5";"54,0";"47,9"
"Alle dipendenze nel settore pubblico";"23,3";"23,8";"17,4";"15,3";"11,1";"5,6";"24,8";"26,9";"26,6";"8,8";"19,3";"37,3";"29,1";"16,3";"18,8";"12,6";"31,3";"19,5";"34,3";"17,8";"34,4";"10,0"
"Alle dipendenze nel settore privato";"13,1";"11,1";"9,6";"20,6";"22,2";"23,6";"6,7";"9,6";"10,3";"23,7";"14,0";"15,3";"6,0";"11,5";"8,3";"18,9";"10,8";"7,3";"6,7";"18,7";"7,1";"28,7"
"In conto proprio";"7,4";"4,0";"5,2";"1,1";"1,2";"7,2";"4,8";"5,8";"13,3";"8,4";"12,3";"-";"5,7";"17,3";"20,8";"12,6";"6,1";"7,3";"1,9";"12,9";"3,5";"12,1"
"Disponibilità a lavorare per tipo di relazione contrattuale: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"ORARIO/MODALITA' LAVORATIVA";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Tempo pieno";"89,4";"85,5";"86,1";"87,3";"87,7";"94,4";"82,9";"90,4";"91,3";"90,7";"91,2";"86,4";"91,5";"91,3";"85,4";"92,1";"84,7";"97,6";"88,6";"92,1";"91,0";"93,4"
"Part-time";"46,8";"55,1";"50,4";"47,6";"40,7";"46,7";"44,8";"28,8";"39,3";"33,5";"49,7";"37,3";"46,5";"46,2";"52,1";"38,6";"53,4";"61,0";"57,1";"46,1";"45,0";"38,7"
"Telelavoro";"14,3";"18,3";"7,8";"15,9";"13,6";"12,8";"17,1";"15,4";"13,5";"19,5";"15,2";"8,5";"13,3";"14,4";"22,9";"8,7";"14,3";"19,5";"20,0";"14,1";"13,5";"10,8"
"CONTRATTO";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Tempo indeterminato";"93,7";"93,3";"94,8";"95,2";"92,6";"95,9";"90,5";"94,2";"93,8";"92,6";"94,2";"96,6";"94,1";"95,2";"87,5";"92,1";"94,0";"95,1";"90,5";"92,1";"93,6";"93,5"
"A tempo determinato";"40,9";"44,6";"37,4";"45,5";"42,0";"42,6";"36,2";"34,6";"39,1";"32,6";"40,4";"28,8";"40,9";"33,7";"39,6";"38,6";"39,6";"53,7";"42,9";"43,2";"42,4";"41,9"
"Collaborazione (compreso lavoro a progetto)";"29,3";"29,6";"28,7";"38,6";"30,9";"29,7";"24,8";"26,9";"29,4";"24,2";"30,4";"15,3";"28,9";"30,8";"47,9";"33,1";"29,8";"46,3";"31,4";"27,0";"28,9";"26,5"
"Inserimento (ex formazione e lavoro)";"29,3";"28,1";"26,1";"36,0";"29,6";"30,3";"21,9";"23,1";"31,5";"22,8";"32,2";"20,3";"28,7";"36,5";"35,4";"31,5";"28,3";"41,5";"29,5";"33,6";"28,0";"30,3"
"Stage";"27,5";"28,0";"29,6";"34,9";"28,4";"27,7";"21,9";"25,0";"34,3";"16,3";"29,8";"22,0";"22,9";"30,8";"33,3";"26,0";"24,9";"46,3";"33,3";"31,1";"28,0";"32,6"
"Apprendistato";"23,9";"26,3";"24,3";"27,5";"28,4";"25,6";"18,1";"19,2";"29,4";"13,5";"26,3";"15,3";"19,6";"27,9";"31,3";"21,3";"23,1";"29,3";"25,7";"25,7";"25,1";"26,6"
"Lavoro interinale";"21,0";"22,3";"21,7";"23,3";"22,2";"18,5";"15,2";"15,4";"23,0";"12,1";"24,6";"11,9";"20,2";"20,2";"29,2";"24,4";"20,9";"34,1";"22,9";"20,7";"21,9";"21,3"
"Autonomo/in conto proprio";"41,2";"36,8";"39,1";"37,6";"30,9";"45,1";"35,2";"30,8";"52,4";"36,3";"42,1";"23,7";"43,4";"46,2";"58,3";"49,6";"40,1";"48,8";"33,3";"43,2";"36,7";"40,0"
"Disponibilità a lavorare nelle seguenti aree geografiche: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Provincia di residenza";"75,9";"72,4";"80,0";"67,7";"81,5";"75,9";"76,2";"75,0";"77,0";"72,1";"77,2";"81,4";"76,1";"70,2";"75,0";"81,9";"79,3";"75,6";"72,4";"75,9";"75,6";"76,5"
"Sede degli studi";"74,1";"72,2";"78,3";"70,4";"80,2";"69,2";"80,0";"82,7";"78,4";"67,9";"74,9";"72,9";"71,8";"64,4";"68,8";"80,3";"76,3";"75,6";"71,4";"74,7";"75,2";"76,0"
"Italia settentrionale";"47,3";"44,0";"47,0";"50,8";"59,3";"47,7";"39,0";"65,4";"48,0";"47,4";"42,1";"47,5";"51,6";"54,8";"33,3";"51,2";"38,1";"65,9";"45,7";"49,8";"44,4";"54,0"
"Italia centrale";"47,4";"45,1";"46,1";"50,3";"55,6";"48,2";"39,0";"67,3";"49,4";"43,3";"45,6";"49,2";"50,4";"55,8";"33,3";"52,8";"39,5";"63,4";"48,6";"47,7";"47,3";"51,9"
"Italia meridionale";"52,7";"46,9";"60,9";"61,9";"63,0";"55,4";"49,5";"69,2";"54,4";"45,1";"50,9";"55,9";"55,4";"63,5";"62,5";"63,0";"48,4";"61,0";"45,7";"47,7";"53,4";"53,1"
"Stato europeo";"46,7";"54,1";"44,3";"52,4";"61,7";"47,2";"40,0";"76,9";"47,4";"53,5";"32,2";"30,5";"48,2";"54,8";"54,2";"52,0";"33,3";"65,9";"47,6";"45,6";"41,8";"50,8"
"Stato extraeuropeo";"32,8";"38,6";"34,8";"37,0";"44,4";"27,7";"27,6";"57,7";"33,3";"40,0";"19,9";"27,1";"33,4";"44,2";"35,4";"37,8";"22,9";"46,3";"36,2";"31,1";"31,2";"34,7"
"Disponibilità ad effettuare trasferte di lavoro (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Sì, anche con trasferimenti di residenza";"50,4";"48,5";"43,5";"54,5";"51,9";"49,7";"41,9";"71,2";"55,2";"48,4";"45,6";"54,2";"51,4";"60,6";"43,8";"51,2";"42,9";"63,4";"49,5";"49,8";"50,8";"57,7"
"Sì, anche frequenti (senza cambi di residenza)";"27,7";"28,6";"34,8";"25,4";"37,0";"32,8";"34,3";"25,0";"26,4";"31,2";"28,1";"23,7";"24,8";"20,2";"39,6";"31,5";"27,5";"17,1";"28,6";"29,5";"28,3";"27,3"
"Sì, ma solo in numero limitato";"16,8";"17,4";"17,4";"15,3";"9,9";"12,3";"20,0";"3,8";"13,9";"16,7";"20,5";"18,6";"18,0";"14,4";"12,5";"15,7";"23,0";"12,2";"16,2";"16,2";"14,5";"11,1"
"Non disponibili a trasferte";"2,8";"2,9";"0,9";"1,6";"-";"3,6";"1,0";"-";"2,4";"1,9";"3,5";"1,7";"3,0";"1,9";"4,2";"0,8";"5,1";"-";"1,9";"2,5";"3,5";"1,0"
